role,kernel,grid,block,calls_per_step,time_us_per_step,rank_min_us,rank_max_us,mean_call_us,p50_call_us,p90_call_us,p99_call_us,launch_occupancy_pct
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_6,256x1x1,128x1x1,4.75,6.510541666666666,0.0,26.042166666666663,1.370640350877193,1.376,1.44,1.504,12
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_4,4x1x1,32x1x1,5.0,6.443874999999999,0.0,25.775499999999997,1.288775,1.312,1.408,1.536,0
Elementwise and metadata,triton_per_fused__to_copy_native_layer_norm_slice_3,2x1x1,64x1x1,4.5,6.404958333333333,0.0,25.619833333333332,1.423324074074074,1.408,1.568,1.664,0
Elementwise and metadata,triton_poi_fused_4,8x1x1,128x1x1,4.75,6.403958333333333,0.0,25.61583333333333,1.3482017543859648,1.344,1.408,1.504,0
Elementwise and metadata,at::native::index_elementwise_kernel,12x1x1,128x1x1,2.0,6.297125,6.1705000000000005,6.469166666666666,3.1485625,3.072,3.456,3.52,1
Elementwise and metadata,triton_poi_fused_add_copy_index_select_mul_slice_split_stack_sub_unsqueeze_view_7,64x1x1,128x1x1,4.75,6.1905,0.0,23.498,1.303263157894737,1.28,1.408,1.472,3
Elementwise and metadata,triton_per_fused_mm_t_3,20x1x1,32x1x1,5.0,5.9385,0.0,21.444666666666667,1.1877,1.184,1.247,1.344,0
Elementwise and metadata,triton_poi_fused_add_mul_1,192x1x1,128x1x1,4.5,5.692,0.0,22.768,1.264888888888889,1.248,1.344,1.44,9
Elementwise and metadata,at::native::unrolled_elementwise_kernel,303x1x1,128x1x1,2.0,5.221333333333334,4.986666666666667,5.397333333333333,2.6106666666666665,2.624,3.04,3.072,14
Elementwise and metadata,triton_red_fused_1,4x1x1,512x1x1,2.25,5.169208333333334,0.0,7.077166666666667,2.2974259259259258,2.272,2.464,2.688,1
Elementwise and metadata,at::native::elementwise_kernel,24x1x1,128x1x1,3.0,4.727875,4.576,4.874666666666667,1.5759583333333333,1.568,1.696,1.888,1
Elementwise and metadata,triton_red_fused_fused_add_rms_norm_machete_mm_0,4x1x1,512x1x1,1.5,4.492,0.0,9.013333333333334,2.994666666666667,2.976,3.104,3.232,1
